# GENERATED by cp5_sector_numeric.c; equation (CP5.13)
# command: cc -O3 -std=c11 proposals/step6-kite-artifacts/cp5_sector_numeric.c -lm -o /tmp/cp5_sector_numeric
# command: /tmp/cp5_sector_numeric 524288 12
# q1^2=1 q2^2=2 q1.q2=0.3 mu^2=1 points=524288 replicas=12
epsilon,master,value,replica_standard_error
0.03,N1,-3.4666836327683318e-06,1.71418e-11
0.03,N2,-5.0620299733207783e-05,9.1392e-11
0.03,N3,0.00011480195481235682,2.3644e-10
0.03,N4,-1.1898335318017554e-05,1.06915e-11
0.03,N5,0.00044161060055684476,2.94464e-10
0.03,N6,0.00042526995055312556,3.98078e-10
0.02,N1,-3.0644346279490477e-06,1.39029e-11
0.02,N2,-6.8510338946738928e-05,9.06774e-11
0.02,N3,0.00015492204054406395,2.75776e-10
0.02,N4,-1.1228620217984794e-05,1.13029e-11
0.02,N5,0.000604061893617769,4.34124e-10
0.02,N6,0.00058859175404780343,3.21316e-10
0.01,N1,-2.7040702592443879e-06,7.27859e-12
0.01,N2,-0.00012357781663806003,1.29794e-10
0.01,N3,0.00027870740064348378,3.87862e-10
0.01,N4,-1.0605459433783346e-05,9.87211e-12
0.01,N5,0.001100965361570929,7.76039e-10
0.01,N6,0.0010863081449957025,6.30296e-10
# K3.7 q1 branch,-3.3417910985300572e-06
# K3.7 q2 branch,-6.6835821970601143e-06
